epoch,accuracy,loss,val_accuracy,val_loss
0,0.7680000066757202,0.6272020936012268,0.8487499952316284,0.33281826972961426
1,0.8659999966621399,0.33783209323883057,0.8974999785423279,0.2625678777694702
2,0.8820000290870667,0.2901219427585602,0.8887500166893005,0.3089463412761688
3,0.906499981880188,0.24816302955150604,0.9150000214576721,0.2668931782245636
4,0.9200000166893005,0.23070645332336426,0.9100000262260437,0.2846332788467407
5,0.9164999723434448,0.21340732276439667,0.9024999737739563,0.27973663806915283
6,0.9359999895095825,0.168666273355484,0.8387500047683716,0.6309198141098022
7,0.934499979019165,0.18479451537132263,0.9024999737739563,0.2934821844100952
8,0.9505000114440918,0.15528051555156708,0.8824999928474426,0.47537246346473694
9,0.9514999985694885,0.11879289895296097,0.8987500071525574,0.3845841884613037
